PN	ASSIGNEE	去標點符號	lower
6020141	"3-Dimensional Pharmaceuticals, Inc."	3-DimensionalPharmaceuticalsInc	3-dimensionalpharmaceuticalsinc
6036920	"3-Dimensional Pharmaceuticals, Inc."	3-DimensionalPharmaceuticalsInc	3-dimensionalpharmaceuticalsinc
6214293	"3-Dimensional Pharmaceuticals, Inc."	3-DimensionalPharmaceuticalsInc	3-dimensionalpharmaceuticalsinc
6232085	"3-Dimensional Pharmaceuticals, Inc."	3-DimensionalPharmaceuticalsInc	3-dimensionalpharmaceuticalsinc
6268158	"3-Dimensional Pharmaceuticals, Inc."	3-DimensionalPharmaceuticalsInc	3-dimensionalpharmaceuticalsinc
6268218	"3-Dimensional Pharmaceuticals, Inc."	3-DimensionalPharmaceuticalsInc	3-dimensionalpharmaceuticalsinc
6291191	"3-Dimensional Pharmaceuticals, Inc."	3-DimensionalPharmaceuticalsInc	3-dimensionalpharmaceuticalsinc
6303322	"3-Dimensional Pharmaceuticals, Inc."	3-DimensionalPharmaceuticalsInc	3-dimensionalpharmaceuticalsinc
6569631	"3-Dimensional Pharmaceuticals, Inc."	3-DimensionalPharmaceuticalsInc	3-dimensionalpharmaceuticalsinc
9963745	3D Signatures Holdings Inc.	3DSignaturesHoldingsInc	3dsignaturesholdingsinc
8334025	"3D Systems, Inc."	3DSystemsInc	3dsystemsinc
9766228	3Dtro AB	3DtroAB	3dtroab
9186868	"3form, LLC"	3formLLC	3formllc
5340536	3-I Systems	3-ISystems	3-isystems
7166214	3MA Solutions Incorporated	3MASolutionsIncorporated	3masolutionsincorporated
7435558	3M ESPE AG	3MESPEAG	3mespeag
7601769	3M Innovative Peroperties Company	3MInnovativePeropertiesCompany	3minnovativeperopertiescompany
7981469	3M Innovative Properites Company	3MInnovativeProperitesCompany	3minnovativeproperitescompany
6313335	3M Innovative Properties	3MInnovativeProperties	3minnovativeproperties
9717812	3M INNOVATIVE PROPERTIES CO.	3MINNOVATIVEPROPERTIESCO	3minnovativepropertiesco
5939339	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
5993935	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
6025189	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
6054032	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
6057256	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
6063591	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
6080418	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
6096533	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
6121508	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
6156478	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
6221198	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
6352837	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
6372407	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
6372895	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
6379952	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
6391578	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
6451191	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
6461467	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
6482638	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
6485979	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
6521325	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
6528277	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
6566090	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
6566508	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
6617136	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
6623955	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
6645618	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
6649249	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
6649406	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
6696157	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
6753080	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
6787329	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
6794458	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
6890649	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
6969166	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
7094743	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
7098253	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
7101621	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
7103398	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
7192560	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
7220344	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
7223364	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
7256012	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
7257279	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
7274458	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
7311880	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
7319031	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
7347976	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
7351574	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
7399609	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
7431991	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
7449146	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
7465536	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
7468272	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
7485432	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
7488422	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
7496225	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
7514263	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
7524673	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
7585919	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
7629027	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
7727710	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
7771990	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
7790347	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
7824732	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
7865008	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
7871827	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
7939249	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
7939578	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
7947716	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
7981600	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
7998091	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
8007905	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
8012427	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
8030430	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
8092710	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
8094916	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
8115920	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
8124022	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
8124231	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
8133443	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
8148122	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
8197775	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
8231836	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
8272255	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
8313931	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
8318282	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
8318303	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
8333718	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
8338496	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
8338497	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
8349580	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
8349906	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
8357540	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
8377672	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
8417013	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
8417014	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
8435776	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
8492162	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
8507092	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
8546100	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
8569072	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
8588505	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
8592493	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
8597959	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
8609330	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
8647574	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
8652812	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
8685746	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
8696975	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
8735455	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
8759080	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
8802392	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
8828162	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
8840837	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
8840840	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
8844139	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
8846203	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
8858986	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
8916102	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
8945896	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
8969029	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
8973269	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
8975067	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
8980622	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
8991239	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
9017771	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
9056316	3M INNOVATIVE PROPERTIES COMPANY	3MINNOVATIVEPROPERTIESCOMPANY	3minnovativepropertiescompany
9116114	3M INNOVATIVE PROPERTIES COMPANY	3MINNOVATIVEPROPERTIESCOMPANY	3minnovativepropertiescompany
9145541	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
9145573	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
9243279	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
9279141	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
9284593	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
9290580	3M INNOVATIVE PROPERTIES COMPANY	3MINNOVATIVEPROPERTIESCOMPANY	3minnovativepropertiescompany
9290866	3M INNOVATIVE PROPERTIES COMPANY	3MINNOVATIVEPROPERTIESCOMPANY	3minnovativepropertiescompany
9302208	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
9322046	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
9351797	3M INNOVATIVE PROPERTIES COMPANY	3MINNOVATIVEPROPERTIESCOMPANY	3minnovativepropertiescompany
9353397	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
9382570	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
9416053	3M INNOVATIVE PROPERTIES COMPANY	3MINNOVATIVEPROPERTIESCOMPANY	3minnovativepropertiescompany
9422371	3M INNOVATIVE PROPERTIES COMPANY	3MINNOVATIVEPROPERTIESCOMPANY	3minnovativepropertiescompany
9434829	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
9435739	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
9475034	3M INNOVATIVE PROPERTIES COMPANY	3MINNOVATIVEPROPERTIESCOMPANY	3minnovativepropertiescompany
9616394	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
9624464	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
9650661	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
9657038	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
9675722	3M INNOVATIVE PROPERTIES COMPANY	3MINNOVATIVEPROPERTIESCOMPANY	3minnovativepropertiescompany
9677981	3M INNOVATIVE PROPERTIES COMPANY	3MINNOVATIVEPROPERTIESCOMPANY	3minnovativepropertiescompany
9700887	3M INNOVATIVE PROPERTIES COMPANY	3MINNOVATIVEPROPERTIESCOMPANY	3minnovativepropertiescompany
9701996	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
9725545	3M INNOVATIVE PROPERTIES COMPANY	3MINNOVATIVEPROPERTIESCOMPANY	3minnovativepropertiescompany
9758547	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
9759663	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
9771675	3M INNOVATIVE PROPERTIES COMPANY	3MINNOVATIVEPROPERTIESCOMPANY	3minnovativepropertiescompany
9880102	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
9932872	3M INNOVATIVE PROPERTIES COMPANY	3MINNOVATIVEPROPERTIESCOMPANY	3minnovativepropertiescompany
9933446	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
9958364	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
9962694	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
9981244	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
10005814	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
10047334	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
10059977	3M INNOVATIVE PROPERTIES COMPANY	3MINNOVATIVEPROPERTIESCOMPANY	3minnovativepropertiescompany
10099217	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
10111424	3M INNOVATIVE PROPERTIES COMPANY	3MINNOVATIVEPROPERTIESCOMPANY	3minnovativepropertiescompany
10131930	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
10138576	3M INNOVATIVE PROPERTIES COMPANY	3MINNOVATIVEPROPERTIESCOMPANY	3minnovativepropertiescompany
10144760	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
10173151	3M Innovative Properties Company	3MInnovativePropertiesCompany	3minnovativepropertiescompany
7933719	3 Q B D Ltd.	3QBDLtd	3qbdltd
8158359	454 Lice Sciences Corporation	454LiceSciencesCorporation	454licesciencescorporation
7323305	454 Life Sciences Corporation	454LifeSciencesCorporation	454lifesciencescorporation
7335762	454 Life Sciences Corporation	454LifeSciencesCorporation	454lifesciencescorporation
7575865	454 Life Sciences Corporation	454LifeSciencesCorporation	454lifesciencescorporation
7601499	454 Life Sciences Corporation	454LifeSciencesCorporation	454lifesciencescorporation
7622280	454 Life Sciences Corporation	454LifeSciencesCorporation	454lifesciencescorporation
7638276	454 Life Sciences Corporation	454LifeSciencesCorporation	454lifesciencescorporation
7682816	454 Life Sciences Corporation	454LifeSciencesCorporation	454lifesciencescorporation
7785862	454 Life Sciences Corporation	454LifeSciencesCorporation	454lifesciencescorporation
8012690	454 Life Sciences Corporation	454LifeSciencesCorporation	454lifesciencescorporation
8609339	454 Life Sciences Corporation	454LifeSciencesCorporation	454lifesciencescorporation
8748102	454 Life Sciences Corporation	454LifeSciencesCorporation	454lifesciencescorporation
8838279	"4Front Engineered Solutions, Inc."	4FrontEngineeredSolutionsInc	4frontengineeredsolutionsinc
10086369	4I S.R.L.	4ISRL	4isrl
5565366	501 Akers Research Corp.	501AkersResearchCorp	501akersresearchcorp
4927265	"501 Microphoretic Systems, Inc."	501MicrophoreticSystemsInc	501microphoreticsystemsinc
4737455	501 N.V. Innogenetics	501NVInnogenetics	501nvinnogenetics
5043265	501 Rijksuniversiteit leiden	501Rijksuniversiteitleiden	501rijksuniversiteitleiden
9624313	"73100-Setenta E Tres Mil E Cem, LDA"	73100-SetentaETresMilECemLDA	73100-setentaetresmilecemlda
8748123	"73100-Setenta e Tres Mil e Cem, Lda."	73100-SetentaeTresMileCemLda	73100-setentaetresmilecemlda
5256269	908098 Ontario Inc.	908098OntarioInc	908098ontarioinc
10209218	908 Devices Inc.	908DevicesInc	908devicesinc
8689591	"9G Products, Inc."	9GProductsInc	9gproductsinc
7183384	"A & G Pharmaceutical, Inc."	A&GPharmaceuticalInc	a&gpharmaceuticalinc
7560095	"A & G Pharmaceutical, Inc."	A&GPharmaceuticalInc	a&gpharmaceuticalinc
6881548	"A&G Pharmaceutical, Inc."	A&GPharmaceuticalInc	a&gpharmaceuticalinc
7091047	"A&G Pharmaceutical, Inc."	A&GPharmaceuticalInc	a&gpharmaceuticalinc
7411045	"A&G Pharmaceutical, Inc."	A&GPharmaceuticalInc	a&gpharmaceuticalinc
8512960	"A&G Pharmaceutical, Inc."	A&GPharmaceuticalInc	a&gpharmaceuticalinc
8911950	"A&G Pharmaceutical, Inc."	A&GPharmaceuticalInc	a&gpharmaceuticalinc
6132822	"A*Ware Technologies, L.C."	A*WareTechnologiesLC	a*waretechnologieslc
5480774	"A/F Protein, Inc."	A/FProteinInc	a/fproteininc
5258285	A/S Foss Electric Holding	A/SFossElectricHolding	a/sfosselectricholding
3994688	A/S N. Foss Electric	A/SNFossElectric	a/snfosselectric
8568999	A1M Pharma AB	A1MPharmaAB	a1mpharmaab
9499864	AAB Patent Holding ApS	AABPatentHoldingApS	aabpatentholdingaps
4504585	"Aalto Scientific, Ltd."	AaltoScientificLtd	aaltoscientificltd
9683267	Aalto University Foundation	AaltoUniversityFoundation	aaltouniversityfoundation
10145762	"AARDVARK FORENSICS, LLC"	AARDVARKFORENSICSLLC	aardvarkforensicsllc
10106854	Aarhus Universitet	AarhusUniversitet	aarhusuniversitet
7320878	Aaron Diamond Aids Research Center	AaronDiamondAidsResearchCenter	aarondiamondaidsresearchcenter
8623324	AAT Bioquest Inc.	AATBioquestInc	aatbioquestinc
9896538	"AAT Bioquest, Inc."	AATBioquestInc	aatbioquestinc
5628891	"AAT Laboratories, Inc."	AATLaboratoriesInc	aatlaboratoriesinc
7754473	Abacus Diagnostica Oy	AbacusDiagnosticaOy	abacusdiagnosticaoy
7972838	Abacus Diagnostica Oy	AbacusDiagnosticaOy	abacusdiagnosticaoy
8216856	Abacus Diagnostica Oy	AbacusDiagnosticaOy	abacusdiagnosticaoy
5693233	Abaxis	Abaxis	abaxis
5061381	"Abaxis, Inc."	AbaxisInc	abaxisinc
5122284	"Abaxis, Inc."	AbaxisInc	abaxisinc
5186844	"Abaxis, Inc."	AbaxisInc	abaxisinc
5304348	"Abaxis, Inc."	AbaxisInc	abaxisinc
5472603	"Abaxis, Inc."	AbaxisInc	abaxisinc
5591643	"Abaxis, Inc."	AbaxisInc	abaxisinc
5624597	"Abaxis, Inc."	AbaxisInc	abaxisinc
5998031	"Abaxis, Inc."	AbaxisInc	abaxisinc
6235531	"Abaxis, Inc."	AbaxisInc	abaxisinc
6251684	"Abaxis, Inc."	AbaxisInc	abaxisinc
6752961	"Abaxis, Inc."	AbaxisInc	abaxisinc
8137920	"Abaxis, Inc."	AbaxisInc	abaxisinc
8530152	"Abaxis, Inc."	AbaxisInc	abaxisinc
8568989	"Abaxis, Inc."	AbaxisInc	abaxisinc
8673576	"Abaxis, Inc."	AbaxisInc	abaxisinc
8758772	"Abaxis, Inc."	AbaxisInc	abaxisinc
8828675	"Abaxis, Inc."	AbaxisInc	abaxisinc
8846319	"Abaxis, Inc."	AbaxisInc	abaxisinc
9157913	"ABAXIS, INC."	ABAXISINC	abaxisinc
9194870	"ABAXIS, INC."	ABAXISINC	abaxisinc
9201071	"ABAXIS, INC."	ABAXISINC	abaxisinc
9470682	"ABAXIS, INC."	ABAXISINC	abaxisinc
9599609	"ABAXIS, INC."	ABAXISINC	abaxisinc
9651546	"ABAXIS, INC."	ABAXISINC	abaxisinc
9696300	"ABAXIS, INC."	ABAXISINC	abaxisinc
9766238	"ABAXIS, INC."	ABAXISINC	abaxisinc
9835622	"ABAXIS, INC."	ABAXISINC	abaxisinc
9851352	"ABAXIS, INC."	ABAXISINC	abaxisinc
6874355	ABB AB	ABBAB	abbab
6689602	ABB Automation Limited	ABBAutomationLimited	abbautomationlimited
6787106	ABB Automation Limited	ABBAutomationLimited	abbautomationlimited
5028529	AB Biodisk	ABBiodisk	abbiodisk
5639632	AB Biodisk	ABBiodisk	abbiodisk
6843474	AB Biodisk	ABBiodisk	abbiodisk
7614620	AB Biodisk	ABBiodisk	abbiodisk
4211766	AB Bonnierforetagen	ABBonnierforetagen	abbonnierforetagen
7993505	Abbot Diabetes Care Inc.	AbbotDiabetesCareInc	abbotdiabetescareinc
7919264	Abbott Biotechnology Ltd.	AbbottBiotechnologyLtd	abbottbiotechnologyltd
7749263	Abbott Cardiovascular Systems Inc.	AbbottCardiovascularSystemsInc	abbottcardiovascularsystemsinc
7823263	Abbott Cardiovascular Systems Inc.	AbbottCardiovascularSystemsInc	abbottcardiovascularsystemsinc
7901452	Abbott Cardiovascular Systems Inc.	AbbottCardiovascularSystemsInc	abbottcardiovascularsystemsinc
8020273	Abbott Cardiovascular Systems Inc.	AbbottCardiovascularSystemsInc	abbottcardiovascularsystemsinc
8029816	Abbott Cardiovascular Systems Inc.	AbbottCardiovascularSystemsInc	abbottcardiovascularsystemsinc
8057876	Abbott Cardiovascular Systems Inc.	AbbottCardiovascularSystemsInc	abbottcardiovascularsystemsinc
