PN,ASSIGNEE,value
7256012,3M Innovative Peroperties Company,8815
8546100,3M Innovative Peroperties Company,8830
9145541,3M Innovative Peroperties Company,8831
6794458,3M Innovative Peroperties Company,9377
7101621,3M Innovative Peroperties Company,9378
9302208,3M Innovative Peroperties Company,9505
9435739,3M Innovative Peroperties Company,9657
6521325,3M Innovative Peroperties Company,10395
6649249,3M Innovative Peroperties Company,10396
8569072,3M Innovative Peroperties Company,10618
8647574,3M Innovative Peroperties Company,10619
8685746,3M Innovative Peroperties Company,10620
8991239,3M Innovative Peroperties Company,10621
6617136,3M Innovative Peroperties Company,10673
6451191,3M Innovative Peroperties Company,10805
7220344,3M Innovative Peroperties Company,10806
6482638,3M Innovative Peroperties Company,12591
8313931,3M Innovative Peroperties Company,12914
8652812,3M Innovative Peroperties Company,12915
8828162,3M Innovative Peroperties Company,14399
9475034,3M Innovative Peroperties Company,14400
9771675,3M Innovative Peroperties Company,14401
7947716,3M Innovative Peroperties Company,14596
8318282,3M Innovative Peroperties Company,14832
8115920,3M Innovative Peroperties Company,15061
9759663,3M Innovative Peroperties Company,15416
9880102,3M Innovative Peroperties Company,15417
10131930,3M Innovative Peroperties Company,15778
7939578,3M Innovative Peroperties Company,15953
7399609,3M Innovative Peroperties Company,16413
6528277,3M Innovative Peroperties Company,16535
8272255,3M Innovative Peroperties Company,16553
9243279,3M Innovative Peroperties Company,16754
6645618,3M Innovative Peroperties Company,17423
6890649,3M Innovative Peroperties Company,17424
8858986,3M Innovative Peroperties Company,17427
10138576,3M Innovative Peroperties Company,17429
7790347,3M Innovative Peroperties Company,18568
5993935,3M Innovative Peroperties Company,18607
9056316,3M Innovative Peroperties Company,18608
6025189,3M Innovative Peroperties Company,19027
7274458,3M Innovative Peroperties Company,19031
6054032,3M Innovative Peroperties Company,19354
6057256,3M Innovative Peroperties Company,19416
6063591,3M Innovative Peroperties Company,19472
6080418,3M Innovative Peroperties Company,19626
6096533,3M Innovative Peroperties Company,19799
6121508,3M Innovative Peroperties Company,20073
10144760,3M Innovative Peroperties Company,20403
6156478,3M Innovative Peroperties Company,20480
6221198,3M Innovative Peroperties Company,21198
9657038,3M Innovative Peroperties Company,21556
8597959,3M Innovative Peroperties Company,22509
7257279,3M Innovative Peroperties Company,23907
8007905,3M Innovative Peroperties Company,24249
8148122,3M Innovative Peroperties Company,24250
6649406,3M Innovative Peroperties Company,24265
6696157,3M Innovative Peroperties Company,24482
8357540,3M Innovative Peroperties Company,24483
9422371,3M Innovative Peroperties Company,24484
6753080,3M Innovative Peroperties Company,24715
6969166,3M Innovative Peroperties Company,25584
8417014,3M Innovative Peroperties Company,25845
8588505,3M Innovative Peroperties Company,25847
9958364,3M Innovative Peroperties Company,25944
8349580,3M Innovative Peroperties Company,26397
9677981,3M Innovative Peroperties Company,26736
8840840,3M Innovative Peroperties Company,27146
10099217,3M Innovative Peroperties Company,28295
8124022,3M Innovative Peroperties Company,28580
8916102,3M Innovative Peroperties Company,28581
9290866,3M Innovative Peroperties Company,28582
8124231,3M Innovative Peroperties Company,28583
8507092,3M Innovative Peroperties Company,28584
8158359,454 Lice Sciences Corporation,9428
7638276,454 Lice Sciences Corporation,4393
8012690,454 Lice Sciences Corporation,4394
8748102,454 Lice Sciences Corporation,4398
7323305,454 Lice Sciences Corporation,9425
7335762,454 Lice Sciences Corporation,9426
7575865,454 Lice Sciences Corporation,9427
7622280,454 Lice Sciences Corporation,12343
7682816,454 Lice Sciences Corporation,13909
7785862,454 Lice Sciences Corporation,13913
8609339,454 Lice Sciences Corporation,21092
7601499,454 Lice Sciences Corporation,24969
5565366,501 Akers Research Corp.,12924
4927265,"501 Microphoretic Systems, Inc.",5805
4737455,501 N.V. Innogenetics,3816
5043265,501 Rijksuniversiteit leiden,6793
10209218,908 Devices Inc.,30031
8689591,"9G Products, Inc.",21689
7560095,"A & G Pharmaceutical, Inc.",18249
7183384,"A & G Pharmaceutical, Inc.",26196
8911950,"A&G Pharmaceutical, Inc.",23759
6881548,"A&G Pharmaceutical, Inc.",25265
8512960,"A&G Pharmaceutical, Inc.",25266
7091047,"A&G Pharmaceutical, Inc.",25924
7411045,"A&G Pharmaceutical, Inc.",26848
6132822,"A*Ware Technologies, L.C.",20174
8309362,A. Menarini Industrie Farmaceutiche Riunite S.R.L.,4986
4413584,"A.J.P. Scientific, Inc.",1787
5480774,"A/F Protein, Inc.",11804
5258285,A/S Foss Electric Holding,8977
7320878,Aaron Diamond Aids Research Center,2399
8623324,AAT Bioquest Inc.,27035
9896538,AAT Bioquest Inc.,27893
7614620,AB Biodisk,2912
5028529,AB Biodisk,6682
5639632,AB Biodisk,14085
4072576,AB Kabi,482
7897330,"AB Sciex, LLC",28073
8216856,Abacus Diagnostica Oy,3974
7754473,Abacus Diagnostica Oy,5593
7972838,Abacus Diagnostica Oy,17991
5693233,Abaxis,14812
6752961,Abaxis,1388
5061381,Abaxis,6950
5122284,Abaxis,7634
5186844,Abaxis,8202
8568989,Abaxis,8210
8758772,Abaxis,8211
9201071,Abaxis,8212
9766238,Abaxis,8216
5304348,Abaxis,9453
5472603,Abaxis,11614
5591643,Abaxis,13287
5624597,Abaxis,13792
9835622,Abaxis,13793
5998031,Abaxis,18647
6235531,Abaxis,21427
6251684,Abaxis,21584
8137920,Abaxis,24502
8530152,Abaxis,24504
8673576,Abaxis,24505
8846319,Abaxis,24506
9599609,Abaxis,24510
8828675,Abaxis,25575
9157913,Abaxis,25576
9194870,Abaxis,25577
9470682,Abaxis,25578
9651546,Abaxis,25579
9696300,Abaxis,25580
9851352,Abaxis,25581
6874355,ABB AB,4853
6689602,ABB Automation Limited,13241
6787106,ABB Automation Limited,20840
7993505,Abbot Diabetes Care Inc.,7872
7919264,Abbott Biotechnology Ltd.,28125
7823263,Abbott Cardiovascular Systems Inc.,2780
7901452,Abbott Cardiovascular Systems Inc.,2781
8099849,Abbott Cardiovascular Systems Inc.,2783
8592036,Abbott Cardiovascular Systems Inc.,2786
8603530,Abbott Cardiovascular Systems Inc.,2787
8752268,Abbott Cardiovascular Systems Inc.,2788
8808342,Abbott Cardiovascular Systems Inc.,2789
8925177,Abbott Cardiovascular Systems Inc.,2790
9038260,Abbott Cardiovascular Systems Inc.,2791
9259341,Abbott Cardiovascular Systems Inc.,2792
9358325,Abbott Cardiovascular Systems Inc.,2793
9579225,Abbott Cardiovascular Systems Inc.,2794
9694116,Abbott Cardiovascular Systems Inc.,2795
9827119,Abbott Cardiovascular Systems Inc.,2796
10145811,Abbott Cardiovascular Systems Inc.,2797
8551152,Abbott Cardiovascular Systems Inc.,10860
9554925,Abbott Cardiovascular Systems Inc.,12289
7749263,Abbott Cardiovascular Systems Inc.,14223
8029816,Abbott Cardiovascular Systems Inc.,14226
8603634,Abbott Cardiovascular Systems Inc.,14231
8883175,Abbott Cardiovascular Systems Inc.,15250
9446173,Abbott Cardiovascular Systems Inc.,15251
9901663,Abbott Cardiovascular Systems Inc.,15765
8202529,Abbott Cardiovascular Systems Inc.,18610
8343529,Abbott Cardiovascular Systems Inc.,18611
9326875,Abbott Cardiovascular Systems Inc.,23664
9078958,Abbott Cardiovascular Systems Inc.,24787
9855705,Abbott Cardiovascular Systems Inc.,27774
9931787,Abbott Cardiovascular Systems Inc.,27775
8057876,Abbott Cardiovascular Systems Inc.,28462
8377533,Abbott Cardiovascular Systems Inc.,28463
8562670,Abbott Cardiovascular Systems Inc.,28606
9439792,Abbott Cardiovascular Systems Inc.,28937
9044312,Abbott Cardiovascular Systems Inc.,29831
9375334,Abbott Cardiovascular Systems Inc.,29832
9949854,Abbott Cardiovascular Systems Inc.,29833
9772299,Abbott Cardiovascular Systems Inc.,30271
8017237,Abbott Cardiovascular Systems Inc.,2782
8557104,Abbott Diabates Care Inc.,7586
8224413,Abbott Diabetes Care Inc.,748
8306598,Abbott Diabetes Care Inc.,749
8391945,Abbott Diabetes Care Inc.,750
8473021,Abbott Diabetes Care Inc.,751
7909984,Abbott Diabetes Care Inc.,883
8083928,Abbott Diabetes Care Inc.,891
8114270,Abbott Diabetes Care Inc.,892
8118992,Abbott Diabetes Care Inc.,894
8123929,Abbott Diabetes Care Inc.,895
8425743,Abbott Diabetes Care Inc.,903
8701282,Abbott Diabetes Care Inc.,911
8728297,Abbott Diabetes Care Inc.,912
7462264,Abbott Diabetes Care Inc.,1534
8136220,Abbott Diabetes Care Inc.,1536
8414749,Abbott Diabetes Care Inc.,1538
8414750,Abbott Diabetes Care Inc.,1539
8741590,Abbott Diabetes Care Inc.,1540
8613892,Abbott Diabetes Care Inc.,3153
7713406,Abbott Diabetes Care Inc.,3951
7901554,Abbott Diabetes Care Inc.,3952
7905998,Abbott Diabetes Care Inc.,3953
7918988,Abbott Diabetes Care Inc.,3954
7998336,Abbott Diabetes Care Inc.,3955
8414761,Abbott Diabetes Care Inc.,3957
8557103,Abbott Diabetes Care Inc.,3959
7797825,Abbott Diabetes Care Inc.,4336
8211038,Abbott Diabetes Care Inc.,5080
8888716,Abbott Diabetes Care Inc.,5081
9927386,Abbott Diabetes Care Inc.,5082
7699973,Abbott Diabetes Care Inc.,5546
8221612,Abbott Diabetes Care Inc.,5899
8431011,Abbott Diabetes Care Inc.,7583
7756561,Abbott Diabetes Care Inc.,7672
8759055,Abbott Diabetes Care Inc.,7716
7811430,Abbott Diabetes Care Inc.,7867
7811432,Abbott Diabetes Care Inc.,7868
7846311,Abbott Diabetes Care Inc.,7869
8083927,Abbott Diabetes Care Inc.,7874
8211280,Abbott Diabetes Care Inc.,7876
8414762,Abbott Diabetes Care Inc.,7878
8419927,Abbott Diabetes Care Inc.,7879
9063076,Abbott Diabetes Care Inc.,7883
9535028,Abbott Diabetes Care Inc.,7884
7754093,Abbott Diabetes Care Inc.,7902
8163160,Abbott Diabetes Care Inc.,7903
8377271,Abbott Diabetes Care Inc.,8039
8380274,Abbott Diabetes Care Inc.,8040
8437829,Abbott Diabetes Care Inc.,8041
9014774,Abbott Diabetes Care Inc.,8043
9414778,Abbott Diabetes Care Inc.,8044
9713443,Abbott Diabetes Care Inc.,8045
7670470,Abbott Diabetes Care Inc.,8365
8147666,Abbott Diabetes Care Inc.,8367
8165651,Abbott Diabetes Care Inc.,8368
8761857,Abbott Diabetes Care Inc.,8372
8262874,Abbott Diabetes Care Inc.,8989
9291591,Abbott Diabetes Care Inc.,8991
9465034,Abbott Diabetes Care Inc.,8992
9770202,Abbott Diabetes Care Inc.,8993
9983161,Abbott Diabetes Care Inc.,8994
8163146,Abbott Diabetes Care Inc.,9005
8255034,Abbott Diabetes Care Inc.,9006
8696884,Abbott Diabetes Care Inc.,9007
8808515,Abbott Diabetes Care Inc.,9008
9714441,Abbott Diabetes Care Inc.,9009
8383361,Abbott Diabetes Care Inc.,10189
7666284,Abbott Diabetes Care Inc.,13637
7368190,Abbott Diabetes Care Inc.,14270
7918975,Abbott Diabetes Care Inc.,19536
7967962,Abbott Diabetes Care Inc.,19537
9097660,Abbott Diabetes Care Inc.,19538
9465005,Abbott Diabetes Care Inc.,19539
8460243,Abbott Diabetes Care Inc.,22804
7922971,Abbott Diabetes Care Inc.,23667
8066649,Abbott Diabetes Care Inc.,23668
8070692,Abbott Diabetes Care Inc.,23669
8105244,Abbott Diabetes Care Inc.,23670
8105245,Abbott Diabetes Care Inc.,23671
8435447,Abbott Diabetes Care Inc.,23672
8652068,Abbott Diabetes Care Inc.,23673
8815175,Abbott Diabetes Care Inc.,23674
7335294,Abbott Diabetes Care Inc.,10101
8293374,Abbott GmbH & Co. KG,16227
8062842,Abbott Healthcare Products B.V.,28474
6662031,Abbott Laboratoies,6149
7731901,Abbott Laboratories,260
7850916,Abbott Laboratories,261
8158434,Abbott Laboratories,262
9084995,Abbott Laboratories,264
9696252,Abbott Laboratories,265
4070246,Abbott Laboratories,471
6406841,Abbott Laboratories,942
4241044,Abbott Laboratories,1070
4420568,Abbott Laboratories,1818
6797479,Abbott Laboratories,1820
4476229,Abbott Laboratories,2166
4510251,Abbott Laboratories,2322
6472227,Abbott Laboratories,2323
4544546,Abbott Laboratories,2388
4578349,Abbott Laboratories,2700
4585862,Abbott Laboratories,2723
4593089,Abbott Laboratories,2755
9329194,Abbott Laboratories,3013
8034272,Abbott Laboratories,3022
8631953,Abbott Laboratories,3023
8497072,Abbott Laboratories,3287
4687329,Abbott Laboratories,3308
6773922,Abbott Laboratories,3444
7303922,Abbott Laboratories,3446
7718072,Abbott Laboratories,3680
8211301,Abbott Laboratories,3681
4734378,Abbott Laboratories,3794
4743561,Abbott Laboratories,3875
4748110,Abbott Laboratories,3911
4868132,Abbott Laboratories,5143
4877745,Abbott Laboratories,5272
6565738,Abbott Laboratories,5555
6863800,Abbott Laboratories,5557
8367012,Abbott Laboratories,5594
4902630,Abbott Laboratories,5598
7998337,Abbott Laboratories,5897
8012341,Abbott Laboratories,5898
8241485,Abbott Laboratories,5900
7037688,Abbott Laboratories,5934
4956148,Abbott Laboratories,5974
4960691,Abbott Laboratories,6005
6526298,Abbott Laboratories,6144
6654620,Abbott Laboratories,6148
4983529,Abbott Laboratories,6248
5006473,Abbott Laboratories,6520
5035861,Abbott Laboratories,6730
8173382,Abbott Laboratories,6984
8183002,Abbott Laboratories,6986
8304201,Abbott Laboratories,6991
8357495,Abbott Laboratories,6992
8501420,Abbott Laboratories,6996
8574858,Abbott Laboratories,6998
8652788,Abbott Laboratories,6999
8835120,Abbott Laboratories,7001
9194873,Abbott Laboratories,7008
9790478,Abbott Laboratories,7013
9841427,Abbott Laboratories,7014
9938589,Abbott Laboratories,7016
10088483,Abbott Laboratories,7017
8159670,Abbott Laboratories,7083
8253938,Abbott Laboratories,7085
8400632,Abbott Laboratories,7086
5075077,Abbott Laboratories,7108
8691149,Abbott Laboratories,7195
5096838,Abbott Laboratories,7285
7504019,Abbott Laboratories,7568
5120643,Abbott Laboratories,7614
5120662,Abbott Laboratories,7629
8298498,Abbott Laboratories,7652
6736957,Abbott Laboratories,7684
5135875,Abbott Laboratories,7773
6365109,Abbott Laboratories,7832
6426045,Abbott Laboratories,7833
5141848,Abbott Laboratories,7848
7311812,Abbott Laboratories,7865
7754059,Abbott Laboratories,7866
7905999,Abbott Laboratories,7870
7922883,Abbott Laboratories,7871
7998338,Abbott Laboratories,7873
8101064,Abbott Laboratories,7875
8241486,Abbott Laboratories,7877
8431000,Abbott Laboratories,7880
8652320,Abbott Laboratories,7881
7501053,Abbott Laboratories,7901
8980106,Abbott Laboratories,8203
5206179,Abbott Laboratories,8470
7545495,Abbott Laboratories,8578
5252459,Abbott Laboratories,8944
5262333,Abbott Laboratories,9014
5264373,Abbott Laboratories,9043
5266498,Abbott Laboratories,9073
5273882,Abbott Laboratories,9223
5281540,Abbott Laboratories,9280
5282149,Abbott Laboratories,9291
5289385,Abbott Laboratories,9342
5310469,Abbott Laboratories,9524
5311426,Abbott Laboratories,9547
7125722,Abbott Laboratories,9649
5320808,Abbott Laboratories,9682
5324481,Abbott Laboratories,9767
5326449,Abbott Laboratories,9803
5332661,Abbott Laboratories,9882
5338684,Abbott Laboratories,9915
7906293,Abbott Laboratories,9967
6403944,Abbott Laboratories,10043
6833540,Abbott Laboratories,10044
5356772,Abbott Laboratories,10175
6615061,Abbott Laboratories,10331
5387790,Abbott Laboratories,10491
5411894,Abbott Laboratories,10718
5413911,Abbott Laboratories,10774
5468649,Abbott Laboratories,11571
8785131,Abbott Laboratories,12142
5520787,Abbott Laboratories,12373
5576215,Abbott Laboratories,13095
8414760,Abbott Laboratories,13164
5599668,Abbott Laboratories,13402
5599677,Abbott Laboratories,13414
5616460,Abbott Laboratories,13685
6391544,Abbott Laboratories,13857
5641630,Abbott Laboratories,14104
5643721,Abbott Laboratories,14126
7700739,Abbott Laboratories,14656
5681754,Abbott Laboratories,14724
5686272,Abbott Laboratories,14756
6905823,Abbott Laboratories,14792
5698393,Abbott Laboratories,14869
5698401,Abbott Laboratories,14879
6897337,Abbott Laboratories,14882
5705330,Abbott Laboratories,15011
7291501,Abbott Laboratories,15028
5707799,Abbott Laboratories,15035
5716778,Abbott Laboratories,15153
9739747,Abbott Laboratories,15373
5755953,Abbott Laboratories,15611
5770389,Abbott Laboratories,15825
5788632,Abbott Laboratories,16070
5792607,Abbott Laboratories,16109
5804390,Abbott Laboratories,16247
8440425,Abbott Laboratories,16291
5843450,Abbott Laboratories,16734
5843651,Abbott Laboratories,16736
5858652,Abbott Laboratories,17014
5866322,Abbott Laboratories,17156
5891643,Abbott Laboratories,17508
5895750,Abbott Laboratories,17565
5976813,Abbott Laboratories,18317
5981171,Abbott Laboratories,18347
5989827,Abbott Laboratories,18534
6043024,Abbott Laboratories,19225
6051374,Abbott Laboratories,19317
6064897,Abbott Laboratories,19479
6077660,Abbott Laboratories,19590
6087182,Abbott Laboratories,19693
6127140,Abbott Laboratories,20120
6174734,Abbott Laboratories,20724
8784734,Abbott Laboratories,20917
8222048,Abbott Laboratories,20975
6203992,Abbott Laboratories,21026
6241663,Abbott Laboratories,21471
6297021,Abbott Laboratories,22238
6312888,Abbott Laboratories,22424
6349740,Abbott Laboratories,22749
6395472,Abbott Laboratories,22961
8309302,Abbott Laboratories,23694
6596476,Abbott Laboratories,23985
6605476,Abbott Laboratories,24032
6730200,Abbott Laboratories,24628
9686824,Abbott Laboratories,24724
9974872,Abbott Laboratories,24725
8421903,Abbott Laboratories,25182
8035485,Abbott Laboratories,25259
7776605,Abbott Laboratories,25326
9028778,Abbott Laboratories,27039
9404837,Abbott Laboratories,27040
7902328,Abbott Laboratories,28094
8092998,Abbott Laboratories,28524
8658384,Abbott Laboratories,29205
8951725,Abbott Laboratories,29764
9073094,Abbott Laboratories,29868
7790363,Abbott Laboratories,2022
7688207,Abbott Laboratories,7647
7351586,Abbott Laboratories,15029
7730788,Abbott Laboratories Vascular Enterprises Limited,243
7815763,Abbott Laboratories Vascular Enterprises Limited,10854
7804594,"Abbott Laboratories, Inc.",7079
8045162,"Abbott Laboratories, Inc.",7082
8034577,"Abbott Laboratories, Inc.",15658
8728311,Abbott Laboratory,3682
9222886,Abbott Molecular Inc.,5693
9260758,Abbott Molecular Inc.,5754
10072306,Abbott Molecular Inc.,5939
8785129,Abbott Molecular Inc.,6680
9790558,Abbott Molecular Inc.,6681
9114392,Abbott Molecular Inc.,7653
9803230,Abbott Molecular Inc.,8803
9284610,Abbott Molecular Inc.,14794
9347945,Abbott Molecular Inc.,15206
9944975,Abbott Molecular Inc.,15678
9534254,Abbott Molecular Inc.,16298
9988669,Abbott Molecular Inc.,24567
9994909,Abbott Molecular Inc.,29765
8017382,Abbott Point of Care Inc.,1043
9233370,Abbott Point of Care Inc.,2473
9329175,Abbott Point of Care Inc.,2474
9958440,Abbott Point of Care Inc.,2479
10048258,Abbott Point of Care Inc.,2480
10126296,Abbott Point of Care Inc.,2481
10145843,Abbott Point of Care Inc.,2482
8017340,Abbott Point of Care Inc.,4810
8048633,Abbott Point of Care Inc.,4811
8703445,Abbott Point of Care Inc.,4812
8883487,Abbott Point of Care Inc.,4813
9752182,Abbott Point of Care Inc.,4817
9921232,Abbott Point of Care Inc.,5611
10048281,Abbott Point of Care Inc.,5612
10048282,Abbott Point of Care Inc.,5613
10114031,Abbott Point of Care Inc.,5614
8084272,Abbott Point of Care Inc.,6983
8241697,Abbott Point of Care Inc.,6988
8268604,Abbott Point of Care Inc.,6989
8389042,Abbott Point of Care Inc.,6993
8486721,Abbott Point of Care Inc.,6995
8986526,Abbott Point of Care Inc.,7003
9441259,Abbott Point of Care Inc.,7009
9488663,Abbott Point of Care Inc.,7010
10209251,Abbott Point of Care Inc.,7020
8241487,Abbott Point of Care Inc.,7467
8265904,Abbott Point of Care Inc.,7468
8510067,Abbott Point of Care Inc.,7469
9140693,Abbott Point of Care Inc.,7856
9194859,Abbott Point of Care Inc.,7857
9488585,Abbott Point of Care Inc.,7859
9487811,Abbott Point of Care Inc.,8373
9562874,Abbott Point of Care Inc.,8374
9903877,Abbott Point of Care Inc.,8375
8445199,Abbott Point of Care Inc.,10800
9207246,Abbott Point of Care Inc.,10801
9964537,Abbott Point of Care Inc.,10802
9885706,Abbott Point of Care Inc.,30298
10188327,Abbott Point of Care Inc.,30299
9949674,Abbott Point of Care Inc.,30310
8241572,Abbott Point of Care Inc.,263
7995194,Abbott Point of Care Inc.,754
8319954,Abbott Point of Care Inc.,755
8326008,Abbott Point of Care Inc.,756
8502963,Abbott Point of Care Inc.,757
8842264,Abbott Point of Care Inc.,758
9733233,Abbott Point of Care Inc.,760
8797527,Abbott Point of Care Inc.,4938
9199233,Abbott Point of Care Inc.,4939
9579651,Abbott Point of Care Inc.,4940
9873118,Abbott Point of Care Inc.,4941
9993817,Abbott Point of Care Inc.,4942
8753890,Abbott Point of Care Inc.,5485
9335290,Abbott Point of Care Inc.,7858
9576180,Abbott Point of Care Inc.,13833
9885701,Abbott Point of Care Inc.,13835
10048248,Abbott Point of Care Inc.,13836
8845981,Abbott Point of Care Inc.,24173
9322835,Abbott Point of Care Inc.,24606
8974732,Abbott Point of Care Inc.,24638
8481282,Abbott Point of Care Inc.,25183
9199236,Abbott Point of Care Inc.,25184
9483686,Abbott Point of Care Inc.,27972
8994930,Abbott Point of Care Inc.,29207
9086418,ABBVIE BIOTECHNOLOGY LTD.,28126
9394360,ABBVIE DEUTSCHLAND GMBH & CO KG,3293
9636398,ABBVIE DEUTSCHLAND GMBH & CO KG,7011
10106602,ABBVIE DEUTSCHLAND GMBH & CO KG,7018
10118958,ABBVIE DEUTSCHLAND GMBH & CO KG,7019
8607639,ABBVIE DEUTSCHLAND GMBH & CO KG,25976
9394360,ABBVIE DEUTSCHLAND GMBH & CO KG,3293
8841417,AbbVie Inc.,7002
8987418,AbbVie Inc.,7004
9035027,AbbVie Inc.,7006
9046513,AbbVie Inc.,7007
9636398,ABBVIE DEUTSCHLAND GMBH & CO KG,7011
10106602,ABBVIE DEUTSCHLAND GMBH & CO KG,7018
10118958,ABBVIE DEUTSCHLAND GMBH & CO KG,7019
8498820,AbbVie Inc.,9734
8498821,AbbVie Inc.,9735
8822645,AbbVie Inc.,14657
9029508,AbbVie Inc.,14658
9120870,AbbVie Inc.,14660
8748108,AbbVie Inc.,15910
9226983,AbbVie Inc.,27651
8398966,AbbVie Inc.,29027
8877194,AbbVie Inc.,29681
9803009,AbbVie Inc.,29682
9109026,"ABBVIE, INC.",14659
8673061,"Abela Pharmaceuticals, Inc.",4886
8988082,Aber Instruments Limited,4479
6406856,Aberdeen University,14438
7744888,AbGenomics Cooperatief U.A.,27737
8298540,AbGenomics Cooperatief U.A.,27738
